id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118104.708746,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.013942956924438477,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118007.877114,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.013942956924438477,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118067.951806,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.013942956924438477,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,50.0,110.0,1740117959.442113,CYtpOm2y9ngfLf4ESf,46446.0,SF,True,True,0.0,Dd,1.0,78.0,1.0,138.0,17.0,0.0030760765075683594,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,62.0,396.0,1740117900.581999,CTg76K2FmN6UybRUk9,46895.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,424.0,17.0,0.0019159317016601562,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,60.0,507.0,1740118084.047155,CEb09v1lSOWxdlXwP6,40960.0,SF,True,True,0.0,Dd,1.0,88.0,1.0,535.0,17.0,0.00197601318359375,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,60.0,507.0,1740118067.951806,CEb09v1lSOWxdlXwP6,40960.0,SF,True,True,0.0,Dd,1.0,88.0,1.0,535.0,17.0,0.00197601318359375,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,60.0,507.0,1740118040.502136,CEb09v1lSOWxdlXwP6,40960.0,SF,True,True,0.0,Dd,1.0,88.0,1.0,535.0,17.0,0.005796909332275391,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,60.0,507.0,1740118127.959023,CEb09v1lSOWxdlXwP6,40960.0,SF,True,True,0.0,Dd,1.0,88.0,1.0,535.0,17.0,0.005796909332275391,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,60.0,507.0,1740118007.877114,CEb09v1lSOWxdlXwP6,40960.0,SF,True,True,0.0,Dd,1.0,88.0,1.0,535.0,17.0,0.005796909332275391,2fe788e3cc713726,efe788e3cc713726
