id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
192.168.1.6,51840,192.168.1.4,22,SSH,16.59117102622986,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,48274,192.168.1.1,53,udp,512.587893,2412,5144,SF,1,0,0,ShADadFf,26,3772,25,6452
192.168.1.4,54280,192.168.1.1,53,udp,0.001798153,51,107,SF,1,1,0,Dd,1,79,1,135
192.168.1.6,42792,192.168.1.4,22,SSH,18.08704090118408,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,47298,192.168.1.1,53,udp,0.009922981,60,112,SF,1,1,0,Dd,1,88,1,140
192.168.1.6,53582,192.168.1.4,22,SSH,18.088106870651245,1615,2086,SF,1,1,0,ShADadFf,17,2507,22,3238
192.168.1.4,34843,31.13.71.36,443,udp,0.001621962,52,113,SF,1,1,0,Dd,1,80,1,141
192.168.1.4,35055,192.168.1.1,53,udp,0.044359922,44,301,SF,1,1,0,Dd,1,72,1,329
192.168.1.4,35154,23.62.169.40,443,udp,0,41,141,SF,0,1,0,Dd,1,69,1,169
192.168.1.4,51550,192.168.1.1,53,udp,0.055493832,63,484,SF,1,1,0,Dd,1,91,1,512
192.168.1.4,35964,192.168.1.1,53,udp,187.3932269,3269,5856,SF,1,0,0,IIiishHhhHhH,28,4733,30,7424
192.168.1.4,53644,192.168.1.1,53,udp,0.180315018,4238,5466,SF,1,0,0,ShADadFRf,14,4950,12,6098
192.168.1.4,35760,13.107.21.239,443,tcp,124.24775,2438,6614,RSTR,1,0,0,ShADadr,13,2978,16,7266
192.168.1.4,45040,192.168.1.1,53,udp,7.171708107,2857,5896,RSTO,1,0,0,ShADadfR,13,3553,12,6528
192.168.1.4,47830,192.168.1.1,53,udp,0,3846,9637,SF,0,0,0,ShADadFf,25,4866,31,10889
192.168.1.4,41586,192.168.1.1,53,udp,2.479373932,1910,13363,SF,1,0,0,ShADadFf,14,2646,12,13995
192.168.1.4,32795,192.168.1.1,53,udp,0.003197908,47,109,SF,1,1,0,Dd,1,75,1,137
192.168.1.4,54370,192.168.1.1,53,udp,0.088713169,42,152,SF,1,1,0,Dd,1,70,1,180
192.168.1.6,33634,192.168.1.4,22,SSH,18.096879959106445,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,44066,192.168.1.1,53,udp,0.76456809,47,621,SF,1,1,0,Dd,1,75,1,649
192.168.1.4,58674,52.168.112.66,443,udp,5.933427095,3823,6914,SF,1,0,0,IIiiiiIhhHH,14,4215,16,7362
192.168.1.6,53976,192.168.1.4,22,SSH,18.08989906311035,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.4,54352,3.162.125.74,443,tcp,122.176513,3277,32863,SF,1,0,0,ShADadFf,23,4481,27,34275
192.168.1.6,37190,192.168.1.4,22,SSH,18.08843398094177,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,39003,192.168.1.1,53,udp,1.148155928,13238,6181,SF,1,0,0,Dd,18,13742,9,6433
192.168.1.4,49450,23.196.3.185,443,tcp,2.495682955,3264,7250,SF,1,0,0,ShADadFRf,15,4028,13,7934
